index,map_name
27,Wario Stadium
3,Bowser's Castle
17,Mario Circuit
28,Wario's Galleon
2,Boo Cinema
9,Dino Dino Jungle
23,Shy Guy Bazaar
12,Dry Bones Burnout
18,Moo Moo Meadows
19,Peach Beach
15,Koopa Troopa Beach
11,DK Spaceport
20,Peach Stadium
24,Sky-High Sundae
6,Crown City
25,Starview Peak
5,Choco Mountain
4,Cheep Cheep Falls
26,Toad's Factory
16,Mario Bros. Circuit
3,Bowser's Castle
7,Dandelion Depths
12,Dry Bones Burnout
0,Acorn Heights
22,Salty Salty Speedway
14,Great ? Block Ruins
9,Dino Dino Jungle
28,Wario's Galleon
2,Boo Cinema
23,Shy Guy Bazaar
