index,map_name
0,Acorn Heights
1,Airship Fortress
2,Boo Cinema
3,Bowser's Castle
4,Cheep Cheep Falls
5,Choco Mountain
6,Crown City
7,Dandelion Depths
8,Desert Hills
9,Dino Dino Jungle
10,DK Pass
11,DK Spaceport
12,Dry Bones Burnout
13,Faraway Oasis
14,Great ? Block Ruins
15,Koopa Troopa Beach
16,Mario Bros. Circuit
17,Mario Circuit
18,Moo Moo Meadows
19,Peach Beach
20,Peach Stadium
21,Rainbow Road
22,Salty Salty Speedway
23,Shy Guy Bazaar
24,Sky-High Sundae
25,Starview Peak
26,Toad's Factory
27,Wario Stadium
28,Wario's Galleon
29,Whistlestop Summit
